slice_col,slice_value,horizon,n,positive_rate,mean_pred,brier,log_loss,ece_10
category,"Rewards 200, 4.5, 50",p_final,64,0.03125,0.03181292630826469,2.6563360767894772e-05,0.0018265320866696808,0.0018129263082646992
category,"Rewards 200, 4.5, 50",p_6h,64,0.03125,0.04337604681730288,0.010338010870571387,0.037230012972165334,0.01681354330167701
category,"Rewards 200, 4.5, 50",p_24h,64,0.03125,0.04263807729607322,0.008652339876631122,0.038489251350632143,0.03263807729607323
category,"Rewards 200, 4.5, 50",p_168h,61,0.03278688524590164,0.04008669817094095,0.0252083089720144,0.09896886548511487,0.030250632597170448
category,"Rewards 50, 4.5, 100",p_final,64,0.0625,0.07086465425414484,0.0005877262489908256,0.00916428733613847,0.008849484121819712
category,"Rewards 50, 4.5, 100",p_6h,64,0.0625,0.06542649582022743,0.0018295209658848797,0.013822101175082549,0.012725142555737107
category,"Rewards 50, 4.5, 100",p_24h,63,0.06349206349206349,0.0726832779615185,0.004731132741603243,0.03186955947860222,0.029016802415883513
category,Rogan,p_final,88,0.38636363636363635,0.3685681695772596,0.014893222364667226,0.07290058295829689,0.017795466786376824
category,Rogan,p_6h,88,0.38636363636363635,0.3685681695772596,0.014893222364667226,0.07290058295829689,0.017795466786376824
category,Rogan,p_24h,88,0.38636363636363635,0.3685681695772596,0.014893222364667226,0.07290058295829689,0.017795466786376824
category,Soccer,p_final,170,0.38823529411764707,0.30135369866645123,0.11406154624634657,0.3407811805974871,0.08703433660054512
category,Soccer,p_6h,133,0.3157894736842105,0.2727712767735144,0.0857038383562227,0.25783285761082797,0.06869198639425168
category,Soccer,p_24h,102,0.22549019607843138,0.21412414889931955,0.05559809286255613,0.17264244805427617,0.07441128419794107
category,Soccer,p_168h,70,0.14285714285714285,0.15172229777176346,0.007449329164119041,0.03382147198600489,0.028962926480784166
category,Solana,p_final,432,0.26157407407407407,0.261180741457519,0.00044194413163411956,0.005175043829299388,0.004896220132681199
category,Solana,p_6h,426,0.26291079812206575,0.25892737284808565,0.013665348118173413,0.05070939250435226,0.014602085363854747
category,Solana,p_24h,397,0.2594458438287154,0.2610862213549865,0.022916449164471657,0.07244530304315722,0.026127160570280576
category,Sports,p_final,12999,0.48057542887914456,0.4117292472256435,0.17777585141919225,0.5135476662005272,0.06884618165350105
category,Sports,p_6h,9416,0.46059898045879355,0.39774250682528184,0.1737323603710191,0.5024307028063144,0.06285647363351173
category,Sports,p_24h,4339,0.3692094952754091,0.32503354339652707,0.12473573649756492,0.3723554085372848,0.04417595187888201
category,Sports,p_168h,1123,0.25556544968833483,0.2456100242108578,0.11730676871862025,0.34816329137129814,0.030361808592220353
category,TSLA,p_final,54,0.3888888888888889,0.38968145899181217,0.022341742882012836,0.09769376353578653,0.06368634048072294
category,TSLA,p_6h,46,0.41304347826086957,0.4229218741749513,0.08313281340372142,0.26645171573901705,0.07679600129507518
category,TSLA,p_24h,35,0.45714285714285713,0.43983632385093085,0.1350336471808772,0.43087130215556957,0.20302081978276024
category,Tech,p_final,101,0.39603960396039606,0.3755593665081592,0.06972026428278229,0.2080284711865431,0.05904532893064916
category,Tech,p_6h,95,0.37894736842105264,0.3493872670760068,0.06984880859774256,0.2069452922461919,0.046216183899926835
category,Tech,p_24h,83,0.3493975903614458,0.3142468736666929,0.0556666371841136,0.17160732615177915,0.07937574677811168
category,Tech,p_168h,35,0.2,0.1723672715200155,0.030168435668894704,0.09296015349997394,0.04280077042043634
category,Tennis,p_final,2786,0.49928212491026563,0.5089096783261864,0.03124845631861582,0.10173111494710776,0.011908651082816647
category,Tennis,p_6h,2786,0.49928212491026563,0.5089096783261864,0.03124845631861582,0.10173111494710776,0.011908651082816647
category,Tennis,p_24h,2786,0.49928212491026563,0.5089096783261864,0.03124845631861582,0.10173111494710776,0.011908651082816647
category,Tennis,p_168h,1023,0.49071358748778104,0.4908548286698692,0.20274946486140102,0.5866927225345582,0.021210362158032424
category,Trump,p_final,347,0.3804034582132565,0.39139340035686204,0.07871552144176759,0.2506442649360717,0.056856035868680654
category,Trump,p_6h,328,0.3628048780487805,0.3979874345152775,0.08020935581696234,0.2558546125881316,0.04831350706089938
category,Trump,p_24h,290,0.36551724137931035,0.41635676836704066,0.09022105566947444,0.28340555450617044,0.059407887280620124
category,Trump,p_168h,135,0.35555555555555557,0.4005260229966669,0.09226173853048528,0.28617371390436974,0.07483185241223307
category,Tweet Markets,p_final,35,0.08571428571428572,0.11814562971105318,0.005702276190921743,0.03647087917988273,0.03311711536825311
category,Tweet Markets,p_6h,35,0.08571428571428572,0.0898118057802878,0.03908911068209976,0.18342695177177115,0.06007390850542647
category,Tweet Markets,p_24h,35,0.08571428571428572,0.09438153001933927,0.04910451218446931,0.2167362702047873,0.08567561349743968
category,Weather,p_final,6874,0.022694210066918824,0.04727968668820374,0.013984841930086105,0.05043032178882215,0.024585476621284914
category,Weather,p_6h,6840,0.02266081871345029,0.05712816111786023,0.021562406835824947,0.0778823944228245,0.03446734240440994
category,Weather,p_24h,6429,0.022398506766215586,0.06937989836947576,0.025463106634487014,0.10098864865903542,0.047249003747654054
category,Weekly,p_final,81,0.38271604938271603,0.38184591148114977,0.0032562461586348283,0.01981012257583042,0.01779686419963636
category,Weekly,p_6h,78,0.38461538461538464,0.3820707712096348,0.03954268031444546,0.13497015527532652,0.05254077248231187
category,Weekly,p_24h,76,0.3815789473684211,0.3524601374800443,0.07098323576512654,0.2624197840541534,0.11027277491407755
category,XRP,p_final,484,0.25826446280991733,0.25873400545617287,0.003821642862766247,0.01617570107727267,0.012930445288172273
category,XRP,p_6h,478,0.2594142259414226,0.25723320937747496,0.017868653744343644,0.059649204354145016,0.017172036905535624
category,XRP,p_24h,414,0.27294685990338163,0.2726340692677801,0.025028648358256828,0.0902248008135225,0.02924273875597657
category,YouTube,p_final,79,0.4810126582278481,0.47179201356229006,0.011148611122648307,0.040679638410774044,0.013746776152779912
